State,Population
,
Alabama,3145559
Alaska,491426
Arizona,5955436
Arkansas,2062567
California,32542747
Colorado,4391096
Connecticut,1414994
Delaware,292301
District of Columbia,678972
Florida,11285844
Georgia,4901539
Hawaii,341778
Idaho,1397443
Illinois,10940788
Indiana,4621396
Iowa,2584480
Kansas,2446034
Kentucky,2520446
Louisiana,2102901
Maine,390874
Maryland,1545931
Massachusetts,3774249
Michigan,5043882
Minnesota,4779812
Mississippi,1485130
Missouri,4119349
Montana,618302
Nebraska,1539066
Nevada,1844864
New Hampshire,439796
New Jersey,4421422
New Mexico,1428968
New York,12443462
North Carolina,6264838
North Dakota,611468
Ohio,7639651
Oklahoma,3131291
Oregon,2996209
Pennsylvania,5602115
Rhode Island,569042
South Carolina,1994020
South Dakota,663824
Tennessee,4299892
Texas,22006049
Utah,3204467
Vermont,155375
Virginia,3111094
Washington,5126107
West Virginia,602368
Wisconsin,4311076
Wyoming,401086
